<DOC>
<DOCNO> 197647 </DOCNO>
<SOURCE> Milliyet v.01 </SOURCE>
<URL> www.milliyet.com.tr/2003/11/24/son/sontur03.html </URL>
<DATE> 2003/11/24/ </DATE>
<TIME>  </TIME>
<AUTHOR>  </AUTHOR>
<HEADLINE>
İl il bayram namazı saatleri... 
</HEADLINE>
<TEXT>

     Adana 07.10. 
     Adıyaman 07.00. 
     Afyon 07.34. 
     Ağrı 06.47. 
     Amasya 07.19. 
     Ankara 07.29. 
     Antalya 07.28. 
     Artvin 06.57. 
     Aydın 07.42. 
     Balıkesir 07.48. 
     Bilecik 07.41. 
     Bingöl 06.55. 
     Bitlis 06.47. 
     Bolu 07.37. 
     Burdur 07.32. 
     Bursa 07.45. 
     Çanakkale 07.55. 
     Çankırı 07.28. 
     Çorum 07.22. 
     Denizli 07.37. 
     Diyarbakır 06.. 
     Edirne 08.00. 
     Elazığ 06.59. 
     Erzincan 07.02. 
     Erzurum 06.55. 
     Eskişehir 07.38. 
     Gaziantep 07.02. 
     Giresun 07.10. 
     Gümüşhane 07.04. 
     Hakkari 06.38. 
     Hatay 07.04. 
     Isparta 07.31. 
     İçel 07.12. 
     İstanbul 07.48. 
     İzmir 07.47. 
     Kars 06.50. 
     Kastamonu 07.30. 
     Kayseri 07.14. 
     Kırklareli 07.58. 
     Kırşehir 07.21. 
     Kocaeli 07.43. 
     Konya 07.24. 
     Kütahya 07.39. 
     Malatya 07.02. 
     Manisa 07.46. 
     Kahramanmaraş 07.05. 
     Mardin 06.49. 
     Muğla 07.38. 
     Muş 06.50. 
     Nevşehir 07.17. 
     Niğde 07.15. 
     Ordu 07.12. 
     Rize 07.02. 
     Sakarya 07.42. 
     Samsun 07.20. 
     Siirt 06.46. 
     Sinop 07.27. 
     Sivas 07.12. 
     Tekirdağ 07.54. 
     Tokat 07.15. 
     Trabzon 07.05. 
     Tunceli 06.59. 
     Şanlıurfa 06.57. 
     Uşak 07.39. 
     Van 06.42. 
     Yozgat 07.21. 
     Zonguldak 07.38. 
     Aksaray 07.19. 
     Bayburt 07.00. 
     Karaman 07.19. 
     Kırıkkale 07.26. 
     Batman 06.50. 
     Şırnak 06.43. 
     Ardahan 06.54. 
     Iğdır 06.44. 
     Kilis 07.02. 
     Bartın 07.37. 
     Karabük 07.34. 
     Yalova 07.46. 
     Osmaniye 07.06. 
     Düzce 07.39. 
     Lefkoşa 07.12. 
     
     Yurtdışında 

     Avrupa'nın bazı şehirlerinde ise bayram namazı saatleri yerel saatle şöyle 
     Berlin 08.44. 
     Düsseldorf 09.02. 
     Frankfurt 08.48. 
     Hamburg 09.04. 
     Amsterdam 09.17. 
     Paris 09.07. 
     Stockholm 09.24. 
     Bonn 08.58. 
     Köln 09.00. 
     Nürnberg 08.35. 
     Zürih 08.35. 
     Strasbourg 08.44. 
     Göteborg 09.30. 
     Londra 08.31. 
     Washington 07.45. 
     Atlanta'da 08.00'de. 
     Chicago'da 07.38. 
     Montreal 07.55. 
     Detroit 08.21. 
     Boston 07.33. 
     New York 07.39. 
     Quebeck 07.52. 
     Los Angeles 07.16. 
     S. Francisco 07.43. 
     Bakü 08.22. 
     Nahcivan 08.36. 
     Tiflis 09.47. 
     Bişkek 07.52. 
     Taşkent 08.08. 
     Duşanbe 08.01. 
     Almatı 08.44. 
     Türkistan 09.19. 
     Aşkabat 08.40. 
     Sivastopol 07.43. 
     Batum 10.00. 
     Melbourne 06.37. 
     Sidney 06.20. 
     Singapur 06.25. 
     Tokyo 07.08. 
     
</TEXT>
</DOC>
